Time,level,is_pump_on,is_upper_sensor_active,is_lower_sensor_active,is_overflowing,is_empty
2026-02-11 00:34:57.553450,55.0,True,False,True,False,False
2026-02-11 00:34:58.054087,57.5,True,False,True,False,False
2026-02-11 00:34:58.554741,60.0,True,False,True,False,False
2026-02-11 00:34:59.055176,62.5,True,False,True,False,False
2026-02-11 00:34:59.555602,65.0,True,False,True,False,False
2026-02-11 00:35:00.056048,67.5,True,False,True,False,False
2026-02-11 00:35:00.556793,70.0,True,False,True,False,False
2026-02-11 00:35:01.057228,72.5,True,False,True,False,False
2026-02-11 00:35:01.557861,75.0,True,True,True,False,False
2026-02-11 00:35:02.058317,72.5,False,False,True,False,False
2026-02-11 00:35:02.558887,70.0,False,False,True,False,False
2026-02-11 00:35:03.059604,67.5,False,False,True,False,False
2026-02-11 00:35:03.560244,65.0,False,False,True,False,False
2026-02-11 00:35:04.060857,62.5,False,False,True,False,False
2026-02-11 00:35:04.561514,60.0,False,False,True,False,False
2026-02-11 00:35:05.062099,57.5,False,False,True,False,False
2026-02-11 00:35:05.562631,55.0,False,False,True,False,False
2026-02-11 00:35:06.063107,52.5,False,False,True,False,False
2026-02-11 00:35:06.563741,50.0,False,False,True,False,False
2026-02-11 00:35:07.064200,47.5,False,False,True,False,False
2026-02-11 00:35:07.564797,45.0,False,False,True,False,False
2026-02-11 00:35:08.065238,42.5,False,False,True,False,False
2026-02-11 00:35:08.565884,40.0,False,False,True,False,False
2026-02-11 00:35:09.066466,37.5,False,False,True,False,False
2026-02-11 00:35:09.566881,35.0,False,False,True,False,False
2026-02-11 00:35:10.067472,32.5,False,False,True,False,False
2026-02-11 00:35:10.567906,30.0,False,False,True,False,False
2026-02-11 00:35:11.068444,27.5,False,False,True,False,False
2026-02-11 00:35:11.569110,25.0,False,False,True,False,False
2026-02-11 00:35:12.069594,22.5,False,False,False,False,False
2026-02-11 00:35:12.570272,25.0,True,False,True,False,False
2026-02-11 00:35:13.070900,27.5,True,False,True,False,False
2026-02-11 00:35:13.571660,30.0,True,False,True,False,False
2026-02-11 00:35:14.072140,32.5,True,False,True,False,False
2026-02-11 00:35:14.572824,35.0,True,False,True,False,False
2026-02-11 00:35:15.073383,37.5,True,False,True,False,False
2026-02-11 00:35:15.574285,40.0,True,False,True,False,False
2026-02-11 00:35:16.074952,42.5,True,False,True,False,False
2026-02-11 00:35:16.575646,45.0,True,False,True,False,False
2026-02-11 00:35:17.076329,47.5,True,False,True,False,False
2026-02-11 00:35:17.576962,50.0,True,False,True,False,False
2026-02-11 00:35:18.077519,52.5,True,False,True,False,False
2026-02-11 00:35:18.577983,55.0,True,False,True,False,False
2026-02-11 00:35:19.078666,57.5,True,False,True,False,False
2026-02-11 00:35:19.579299,60.0,True,False,True,False,False
2026-02-11 00:35:20.079766,62.5,True,False,True,False,False
2026-02-11 00:35:20.580618,65.0,True,False,True,False,False
2026-02-11 00:35:21.081276,67.5,True,False,True,False,False
2026-02-11 00:35:21.581961,70.0,True,False,True,False,False
2026-02-11 00:35:22.082600,72.5,True,False,True,False,False
2026-02-11 00:35:22.583199,75.0,True,True,True,False,False
2026-02-11 00:35:23.083756,72.5,False,False,True,False,False
2026-02-11 00:35:23.584425,70.0,False,False,True,False,False
2026-02-11 00:35:24.085026,67.5,False,False,True,False,False
2026-02-11 00:35:24.585565,65.0,False,False,True,False,False
2026-02-11 00:35:25.086032,62.5,False,False,True,False,False
2026-02-11 00:35:25.586886,60.0,False,False,True,False,False
2026-02-11 00:35:26.087760,57.5,False,False,True,False,False
2026-02-11 00:35:26.588508,55.0,False,False,True,False,False
2026-02-11 00:35:27.089067,52.5,False,False,True,False,False
2026-02-11 00:35:27.589754,50.0,False,False,True,False,False
2026-02-11 00:35:28.090285,47.5,False,False,True,False,False
2026-02-11 00:35:28.591058,45.0,False,False,True,False,False
2026-02-11 00:35:29.091641,42.5,False,False,True,False,False
2026-02-11 00:35:29.592380,40.0,False,False,True,False,False
2026-02-11 00:35:30.093004,37.5,False,False,True,False,False
2026-02-11 00:35:30.593482,35.0,False,False,True,False,False
2026-02-11 00:35:31.093928,32.5,False,False,True,False,False
2026-02-11 00:35:31.594576,30.0,False,False,True,False,False
2026-02-11 00:35:32.095001,27.5,False,False,True,False,False
2026-02-11 00:35:32.595519,25.0,False,False,True,False,False
2026-02-11 00:35:33.095999,22.5,False,False,False,False,False
2026-02-11 00:35:33.596529,25.0,True,False,True,False,False
2026-02-11 00:35:34.097180,27.5,True,False,True,False,False
2026-02-11 00:35:34.597818,30.0,True,False,True,False,False
2026-02-11 00:35:35.098450,32.5,True,False,True,False,False
2026-02-11 00:35:35.599105,35.0,True,False,True,False,False
2026-02-11 00:35:36.099608,37.5,True,False,True,False,False
2026-02-11 00:35:36.600193,40.0,True,False,True,False,False
2026-02-11 00:35:37.100856,42.5,True,False,True,False,False
2026-02-11 00:35:37.601520,45.0,True,False,True,False,False
2026-02-11 00:35:38.102200,47.5,True,False,True,False,False
2026-02-11 00:35:38.602885,50.0,True,False,True,False,False
2026-02-11 00:35:39.103623,52.5,True,False,True,False,False
2026-02-11 00:35:39.604193,55.0,True,False,True,False,False
2026-02-11 00:35:40.104912,57.5,True,False,True,False,False
2026-02-11 00:35:40.605393,60.0,True,False,True,False,False
2026-02-11 00:35:41.106098,62.5,True,False,True,False,False
2026-02-11 00:35:41.606657,65.0,True,False,True,False,False
2026-02-11 00:35:42.107189,67.5,True,False,True,False,False
2026-02-11 00:35:42.607816,70.0,True,False,True,False,False
2026-02-11 00:35:43.108360,72.5,True,False,True,False,False
2026-02-11 00:35:43.608911,75.0,True,True,True,False,False
2026-02-11 00:35:44.109592,72.5,False,False,True,False,False
2026-02-11 00:35:44.610220,70.0,False,False,True,False,False
2026-02-11 00:35:45.110824,67.5,False,False,True,False,False
2026-02-11 00:35:45.611260,65.0,False,False,True,False,False
2026-02-11 00:35:46.111865,62.5,False,False,True,False,False
2026-02-11 00:35:46.612283,60.0,False,False,True,False,False
2026-02-11 00:35:47.112972,57.5,False,False,True,False,False
2026-02-11 00:35:47.613648,55.0,False,False,True,False,False
2026-02-11 00:35:48.114221,52.5,False,False,True,False,False
2026-02-11 00:35:48.614889,50.0,False,False,True,False,False
2026-02-11 00:35:49.115431,47.5,False,False,True,False,False
2026-02-11 00:35:49.615959,45.0,False,False,True,False,False
2026-02-11 00:35:50.116640,42.5,False,False,True,False,False
2026-02-11 00:35:50.617104,40.0,False,False,True,False,False
2026-02-11 00:35:51.117709,37.5,False,False,True,False,False
2026-02-11 00:35:51.618396,35.0,False,False,True,False,False
2026-02-11 00:35:52.119053,32.5,False,False,True,False,False
2026-02-11 00:35:52.619555,30.0,False,False,True,False,False
2026-02-11 00:35:53.120193,27.5,False,False,True,False,False
2026-02-11 00:35:53.620936,25.0,False,False,True,False,False
2026-02-11 00:35:54.121591,22.5,False,False,False,False,False
2026-02-11 00:35:54.622293,25.0,True,False,True,False,False
2026-02-11 00:35:55.122706,27.5,True,False,True,False,False
2026-02-11 00:35:55.623362,30.0,True,False,True,False,False
